record_id,doi,material_name,carbonization_temperature_C,carbonization_time_h,heating_rate_C_min,d002_nm,la_nm,lc_nm,id_ig,ssa_m2_g,pore_volume_cm3_g,category,electrolyte_text,current_density_mA_g,ice,plateau_capacity_mAh_g,reversible_capacity_mAh_g,rate_capability,electrolyte_type,lce
1.0,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-900,900,2.0,3.0,0.387,,,1.11,209.3,,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,20.0,0.621,0.0,138.4,47.8,1.0,0.49379487685105233
,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1000,1000,2.0,3.0,0.385,,,1.23,571.7,,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,20.0,0.641,0.0,204.1,97.6,1.0,0.5797070684323913
,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1100,1100,2.0,3.0,0.382,,,1.17,33.03,,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,20.0,0.724,106.0,342.4,60.4,1.0,0.9643905266685663
,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1200,1200,2.0,3.0,0.38,,,1.16,167.3,,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,20.0,0.664,125.0,263.5,75.6,1.0,0.6811709895132297
,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1100A,1100,2.0,3.0,0.382,,,1.16,46.3,,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,20.0,0.721,140.0,350.3,146.0,1.0,0.9494273554635833
2.0,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1100,1100,0.5,5.0,0.38,,,2.63,231.1,,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,20.0,0.636,62.0,221.0,,1.0,0.5580446957033814
,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1300,1300,0.5,5.0,0.375,,,2.02,240.6,,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,20.0,0.682,81.0,225.0,78.5,1.0,0.7629782750632855
,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1100M,1100,0.5,5.0,0.388,,,2.97,29.2,,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,20.0,0.695,72.0,252.0,163.8,1.0,0.8236000689573804
,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1300M,1300,0.5,5.0,0.378,,,2.39,34.5,,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,20.0,0.746,118.0,268.0,139.2,1.0,1.0773913331852243
3.0,Hierarchical Flower-Like Porous Carbon Nanosheets with Richly Exposed (002) Planes for High-Performance Sodium–Ion Batteries,HFHCN,1400,8.0,1.0,0.37,,,0.87,280.0,0.0876,醚类,1 mol/L NaClO4 in a 1:1 volume ratio of ethylene carbonate and dimethyl carbonate,20.0,0.611,191.6,390.8,150.0,0.0,0.45151761555314895
,Hierarchical Flower-Like Porous Carbon Nanosheets with Richly Exposed (002) Planes for High-Performance Sodium–Ion Batteries,CHCM,1400,8.0,1.0,0.38,,,1.04,0.7,,醚类,1 mol/L NaClO4 in a 1:1 volume ratio of ethylene carbonate and dimethyl carbonate,20.0,0.757,181.5,333.2,33.3,0.0,1.1363018100969002
12.0,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-1500,1500,2.0,,0.372,3.968,1.311,1.856,10.8,0.002681,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),20.0,0.766,200.0,342.5,,0.0,1.18586105438289
,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-O250–1500,1500,2.0,,0.376,4.14,1.228,1.772,7.7,0.002281,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),20.0,0.779,237.0,344.4,46.1,0.0,1.2598483443529955
,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-O300–1500,1500,2.0,,0.383,4.392,1.147,1.764,8.7,0.002153,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),20.0,0.748,266.8,426.8,58.8,0.0,1.087973890463054
,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-Ar300–1500,1500,2.0,,0.389,4.694,1.149,1.755,11.1,0.00244,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),20.0,0.756,217.3,361.0,62.9,0.0,1.1308731508863312
