carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce
900.0,0.387,1.11,209.3,1,20.0,0.621,0.49379487685105233
1000.0,0.385,1.23,571.7,1,20.0,0.6409999999999999,0.5797070684323907
1100.0,0.382,1.17,33.03,1,20.0,0.7240000000000001,0.9643905266685667
1200.0,0.38,1.16,167.3,1,20.0,0.664,0.6811709895132297
1100.0,0.382,1.16,46.3,1,20.0,0.721,0.9494273554635833
1100.0,0.38,2.63,231.1,1,20.0,0.636,0.5580446957033814
1300.0,0.375,2.02,240.6,1,20.0,0.682,0.7629782750632855
1100.0,0.388,2.97,29.2,1,20.0,0.695,0.8236000689573804
1300.0,0.378,2.39,34.5,1,20.0,0.746,1.0773913331852243
1400.0,0.37,0.87,280.0,1,20.0,0.611,0.45151761555314895
1400.0,0.38,1.04,0.7,1,20.0,0.757,1.1363018100969002
1500.0,0.372,1.856,10.8,1,20.0,0.7659999999999999,1.1858610543828894
1500.0,0.376,1.772,7.7,1,20.0,0.779,1.2598483443529955
1500.0,0.383,1.764,8.7,1,20.0,0.748,1.087973890463054
1500.0,0.389,1.755,11.1,1,20.0,0.7559999999999999,1.1308731508863306
1400.0,0.383,1.116,3.5726,1,50.0,0.823,1.5368064681032403
1400.0,0.393,1.057,4.6857,1,50.0,0.84,1.6582280766035322
1400.0,0.378,1.012,4.4029,1,50.0,0.7879999999999999,1.312911815185866
1200.0,0.372,0.95,5.51,0,50.0,0.6679999999999999,0.6991532046201568
1200.0,0.364,1.43,0.404,0,50.0,0.6801999999999999,0.7546910721732408
1200.0,0.365,1.17,0.739,0,50.0,0.6742,0.7272431066320156
800.0,0.355,1.62,294.5,1,200.0,0.485,-0.06001800972625304
650.0,0.365,2.18,1529.1,0,100.0,0.147,-1.7583269607129428
750.0,0.378,1.29,1752.0,0,100.0,0.331,-0.7036656847511655
750.0,0.391,2.04,706.0,0,100.0,0.42100000000000004,-0.3186696438906137
