carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce,plateau_capacity_mAh_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,record_id,doi,material_name,category,electrolyte_text,reversible_capacity_mAh_g,mapping_method,mapping_found
900.0,0.387,1.11,209.3,1,20.0,0.621,0.4937948768510523,0.0,2.0,3.0,,,,1.0,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-900,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,138.4,primary_exact,True
1000.0,0.385,1.23,571.7,1,20.0,0.6409999999999999,0.5797070684323907,0.0,2.0,3.0,,,,,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1000,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,204.1,primary_exact,True
1100.0,0.382,1.17,33.03,1,20.0,0.7240000000000001,0.9643905266685668,106.0,2.0,3.0,,,,,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1100,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,342.4,primary_exact,True
1200.0,0.38,1.16,167.3,1,20.0,0.664,0.6811709895132297,125.0,2.0,3.0,,,,,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1200,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,263.5,primary_exact,True
1100.0,0.382,1.16,46.3,1,20.0,0.721,0.9494273554635831,140.0,2.0,3.0,,,,,Dual-Functionalized Ca Enables High Sodiation Kinetics for Hard Carbon in Sodium-Ion Batteries,HC-1100A,醚类,1M  NaPF6dissolved  in  bis(2-methoxy  ethyl)ether,350.3,primary_exact,True
1100.0,0.38,2.63,231.1,1,20.0,0.636,0.5580446957033814,62.0,0.5,5.0,,,,2.0,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1100,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,221.0,primary_exact,True
1300.0,0.375,2.02,240.6,1,20.0,0.682,0.7629782750632855,81.0,0.5,5.0,,,,,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1300,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,225.0,primary_exact,True
1100.0,0.388,2.97,29.2,1,20.0,0.695,0.8236000689573804,72.0,0.5,5.0,,,,,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1100M,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,252.0,primary_exact,True
1300.0,0.378,2.39,34.5,1,20.0,0.746,1.0773913331852245,118.0,0.5,5.0,,,,,Eucommia Ulmoides Barks-derived Anodes for Sodium ion Battery and Method to Improve Electrochemical Performances by Modifying Defects,EU1300M,醚类,1 mol L-1 NaCF3SO3 in diglyme as electrolyte,268.0,primary_exact,True
1400.0,0.37,0.87,280.0,1,20.0,0.611,0.4515176155531489,191.6,8.0,1.0,0.0876,,,3.0,Hierarchical Flower-Like Porous Carbon Nanosheets with Richly Exposed (002) Planes for High-Performance Sodium–Ion Batteries,HFHCN,醚类,1 mol/L NaClO4 in a 1:1 volume ratio of ethylene carbonate and dimethyl carbonate,390.8,primary_exact,True
1400.0,0.38,1.04,0.7,1,20.0,0.757,1.1363018100969002,181.5,8.0,1.0,,,,,Hierarchical Flower-Like Porous Carbon Nanosheets with Richly Exposed (002) Planes for High-Performance Sodium–Ion Batteries,CHCM,醚类,1 mol/L NaClO4 in a 1:1 volume ratio of ethylene carbonate and dimethyl carbonate,333.2,primary_exact,True
1500.0,0.372,1.856,10.8,1,20.0,0.7659999999999999,1.1858610543828894,200.0,2.0,,0.002681,1.311,3.968,12.0,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-1500,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),342.5,primary_exact,True
1500.0,0.376,1.772,7.7,1,20.0,0.779,1.2598483443529955,237.0,2.0,,0.002281,1.228,4.14,,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-O250–1500,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),344.4,primary_exact,True
1500.0,0.383,1.764,8.7,1,20.0,0.748,1.087973890463054,266.8,2.0,,0.002153,1.147,4.392,,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-O300–1500,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),426.8,primary_exact,True
