carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,plateau_capacity_mAh_g
900.0,0.387,1.11,209.3,1,20.0,0.0
1000.0,0.385,1.23,571.7,1,20.0,0.0
1100.0,0.382,1.17,33.03,1,20.0,106.0
1200.0,0.38,1.16,167.3,1,20.0,125.0
1100.0,0.382,1.16,46.3,1,20.0,140.0
1100.0,0.38,2.63,231.1,1,20.0,62.0
1300.0,0.375,2.02,240.6,1,20.0,81.0
1100.0,0.388,2.97,29.2,1,20.0,72.0
1300.0,0.378,2.39,34.5,1,20.0,118.0
1400.0,0.37,0.87,280.0,1,20.0,191.6
1400.0,0.38,1.04,0.7,1,20.0,181.5
1500.0,0.372,1.856,10.8,1,20.0,200.0
1500.0,0.376,1.772,7.7,1,20.0,237.0
1500.0,0.383,1.764,8.7,1,20.0,266.8
1500.0,0.389,1.755,11.1,1,20.0,217.3
1400.0,0.383,1.116,3.5726,1,50.0,203.64
1400.0,0.393,1.057,4.6857,1,50.0,210.0
1400.0,0.378,1.012,4.4029,1,50.0,154.18
1200.0,0.372,0.95,5.51,0,50.0,164.2
1200.0,0.364,1.43,0.404,0,50.0,109.9
1200.0,0.365,1.17,0.739,0,50.0,99.2
800.0,0.355,1.62,294.5,1,200.0,0.0
650.0,0.365,2.18,1529.1,0,100.0,0.0
750.0,0.378,1.29,1752.0,0,100.0,0.0
750.0,0.391,2.04,706.0,0,100.0,0.0
1200.0,0.41,2.69,14.5,1,30.0,174.72
1400.0,0.37,1.99,8.6,1,30.0,203.49
1400.0,0.363,1.49,14.3,0,20.0,174.9
1400.0,0.371,1.62,26.3,0,20.0,186.9
1400.0,0.37,1.54,6.8,0,20.0,218.6
1500.0,0.378,1.61,12.1,0,37.2,214.83
1500.0,0.375,1.64,6.0,0,37.2,194.29
1500.0,0.373,1.59,2.4,0,37.2,169.96
1500.0,0.377,1.63,2.4,0,37.2,199.62
1500.0,0.379,1.62,14.7,0,37.2,205.32
1100.0,0.36,1.78,9.8,0,25.0,115.88
1100.0,0.404,2.58,8.44,0,30.0,148.48
1300.0,0.397,2.39,7.12,0,30.0,199.63
1100.0,0.372,1.24,3.88,0,15.0,125.0
700.0,0.381,3.38,1.08,1,30.0,37.6
1100.0,0.374,2.66,1.87,1,30.0,97.0
1500.0,0.358,1.63,4.49,1,30.0,118.3
1200.0,0.385,2.27,4.71,0,30.0,186.2
1200.0,0.399,1.15,17.84,0,50.0,157.88
1200.0,0.393,1.05,6.9148,0,50.0,189.73
800.0,0.39,2.11,468.0,1,100.0,0.0
600.0,0.42,1.55,21.15,0,100.0,0.0
1400.0,0.389,1.408,3.37,1,50.0,243.07
900.0,0.3749,1.71,479.0,0,15.0,0.0
1100.0,0.3744,1.77,277.0,0,15.0,108.97
1300.0,0.3777,1.44,1.6,0,15.0,141.35
1400.0,0.3715,1.599,29.4,0,15.0,175.77
1500.0,0.3715,1.99,2.85,0,15.0,137.32
1600.0,0.3675,2.05,16.15,0,15.0,128.27
800.0,0.381,1.09,547.6,1,100.0,0.0
700.0,0.399,2.886,1623.2,1,20.0,0.0
1100.0,0.3814,1.68,66.996,0,20.0,67.89
1300.0,0.3796,1.53,35.526,0,20.0,157.28
1400.0,0.364,1.235,69.0,1,50.0,166.48
1400.0,0.362,1.224,68.2,1,50.0,164.8
1100.0,0.387,2.1,29.32,0,30.0,87.36
1200.0,0.38,2.1,2.3,0,30.0,209.3
700.0,0.37,1.02,161.2,0,100.0,0.0
800.0,0.39,1.03,189.7,0,100.0,0.0
900.0,0.41,1.05,192.8,0,100.0,0.0
700.0,0.3863,1.53,290.0,0,25.0,0.0
900.0,0.3809,1.42,255.0,0,25.0,106.23
1100.0,0.3706,1.38,90.0,0,25.0,96.83
1200.0,0.38,1.05,63.9,0,50.0,165.83
1000.0,0.41,0.88,382.0,0,30.0,52.71
1300.0,0.393,0.99,10.0,0,30.0,151.94
1500.0,0.383,1.1,11.0,0,30.0,217.99
1700.0,0.363,1.13,7.0,0,30.0,200.52
1900.0,0.355,1.18,7.0,0,30.0,134.31
800.0,0.359,2.32,108.0,0,50.0,0.0
1200.0,0.348,1.63,100.7,0,30.0,67.3
1200.0,0.381,1.89,49.1,0,30.0,161.1
1200.0,0.394,1.91,4.8,0,30.0,184.9
1200.0,0.374,1.85,29.6,0,30.0,145.8
1100.0,0.408,2.14,13.0,0,30.0,133.02
1300.0,0.379,1.87,4.2,0,30.0,149.72
700.0,0.384,1.04,1041.2,0,100.0,0.0
1000.0,0.403,2.11,393.84,0,30.0,52.8
800.0,0.37,1.09,477.838,0,25.0,38.4
800.0,0.38,1.06,449.073,0,25.0,32.68
800.0,0.38,1.17,282.87,0,25.0,63.3
800.0,0.38,1.09,505.317,0,25.0,43.97
900.0,0.392,1.02,55.8,0,100.0,0.0
800.0,0.391,0.96,75.7,1,100.0,46.33
900.0,0.364,1.1,491.0,1,50.0,25.75
1200.0,0.377,0.98,341.0,1,50.0,51.5
1200.0,0.346,0.98,169.52,0,30.0,97.0
1200.0,0.386,1.75,5.95,0,30.0,185.7
1200.0,0.374,1.49,4.6,0,30.0,151.9
1500.0,0.367,1.42,11.2,0,7.44,186.75
1500.0,0.373,1.55,8.5,0,7.44,227.76
1500.0,0.375,1.54,6.0,0,7.44,218.93
1600.0,0.37,1.44,8.2,0,7.44,229.34
800.0,0.394,0.957,305.051,1,100.0,0.0
800.0,0.416,0.976,46.269,1,100.0,29.01
1000.0,0.373,2.7,49.6,0,100.0,42.71
1400.0,0.418,1.48,3.63,1,30.0,120.0
1400.0,0.42,1.74,1.47,1,30.0,230.1
1400.0,0.419,1.43,2.93,1,30.0,168.0
1400.0,0.417,1.4,4.34,1,30.0,130.0
1400.0,0.374,1.175,52.1,0,20.0,188.87
1400.0,0.382,1.18,15.3,0,20.0,216.19
1400.0,0.398,1.198,10.8,0,20.0,200.4
900.0,0.375,2.21,195.7,0,100.0,19.88
900.0,0.392,2.89,181.3,0,100.0,60.09
1200.0,0.382,2.28,17.4,0,100.0,76.08
1800.0,0.365,0.75,13.0,1,20.0,89.5
1200.0,0.393,1.09,5.0,1,20.0,107.81
1400.0,0.371,0.94,2.0,1,20.0,174.73
800.0,0.39,3.11,252.3,0,30.0,50.0
1000.0,0.385,2.94,84.6,0,30.0,112.0
1200.0,0.383,2.35,6.7,0,30.0,158.0
1400.0,0.379,1.98,3.3,0,30.0,219.0
1600.0,0.371,1.8,1.9,0,30.0,236.0
800.0,0.368,1.084,239.89,1,10.0,64.08
2000.0,0.343,1.306,17.7,1,10.0,120.58
800.0,0.376,1.102,138.47,1,10.0,48.93
1000.0,0.354,0.94,131.24,1,100.0,78.42
1190.0,0.376,0.96,296.17,1,50.0,0.0
1000.0,0.402,1.18,325.0,1,30.0,53.65
1200.0,0.397,1.15,103.0,1,30.0,109.66
1400.0,0.39,1.16,46.0,1,30.0,172.61
1400.0,0.388,1.05,29.0,1,30.0,120.08
1100.0,0.411,1.664,15.611,0,100.0,25.0
1200.0,0.367,1.85,115.9,0,30.0,162.1
1200.0,0.379,1.89,70.2,0,30.0,200.4
1200.0,0.384,1.96,30.0,0,30.0,230.5
1200.0,0.401,2.2,47.3,0,30.0,188.5
1400.0,0.372,1.63,22.551,0,20.0,92.4
1400.0,0.377,1.51,27.9862,0,20.0,186.5
1400.0,0.379,1.59,37.2031,0,20.0,150.0
1400.0,0.381,1.71,51.9868,0,20.0,140.3
1400.0,0.378,1.81,78.4585,0,20.0,95.82
1100.0,0.376,1.1,9.068,1,50.0,159.1
1300.0,0.365,1.03,4.729,1,50.0,189.1
800.0,0.396,2.89,583.0,0,30.0,0.0
1000.0,0.379,2.64,205.0,0,30.0,153.6
1300.0,0.38,1.04,90.75,1,50.0,151.7
1000.0,0.393,2.09,329.0,1,50.0,107.89
1000.0,0.389,2.03,478.4,1,50.0,27.89
1000.0,0.364,2.01,13.3,1,50.0,108.0
800.0,0.38,0.63,1079.88,0,100.0,0.0
900.0,0.399,0.89,578.2,0,50.0,0.0
900.0,0.399,0.95,352.7,0,50.0,0.0
1000.0,0.382,1.37,38.0,0,30.0,141.0
1500.0,0.373,1.52,13.0,0,30.0,239.0
1400.0,0.382,2.3,161.2,1,100.0,128.9
1400.0,0.384,2.2,53.0,1,100.0,160.1
1400.0,0.373,1.93,64.2,1,100.0,108.6
1400.0,0.383,2.44,30.4,1,100.0,150.72
1500.0,0.372,1.15,24.0,0,20.0,169.3
1500.0,0.371,1.24,82.0,0,20.0,242.6
1100.0,0.393,2.3,187.5,1,100.0,107.4
1500.0,0.363,1.72,46.6,1,100.0,114.0
600.0,0.377,0.88,690.0,0,100.0,0.0
600.0,0.363,0.84,468.0,0,100.0,0.0
1300.0,0.3637,1.9,105.0,0,25.0,159.17
1300.0,0.3604,1.9,2.5,0,25.0,197.23
1300.0,0.362,1.8,0.1,0,25.0,204.15
1300.0,0.3638,1.8,6.0,0,25.0,209.69
1300.0,0.3623,1.9,8.0,0,25.0,186.85
