feature,feature_label,target,target_label,n,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,ols_r2,ols_coef,ols_p
carbonization_temperature_C,Carbonization temperature,ice,ICE,565,0.7499678811548811,3.977767106154266e-103,0.7795928516363934,1.6497643037612135e-116,0.6032005594499876,2.947171650876616e-93,0.5624518227639419,0.00040441688956346775,3.9777671061538884e-103
carbonization_temperature_C,Carbonization temperature,plateau_capacity_mAh_g,Plateau capacity,565,0.8173875628362023,5.874407466440687e-137,0.820680159255398,5.809000361350459e-139,0.6551802113587517,1.6428481902586551e-106,0.6681224278793063,0.23488478641609462,5.874407466441389e-137
d002_nm,d002,ice,ICE,565,-0.12559100211359564,0.002785196898588296,-0.09558218870958307,0.023078339812431826,-0.06634409354020061,0.019549651976264713,0.015773099811897007,-1.1705281570902657,0.0027851968985883155
d002_nm,d002,plateau_capacity_mAh_g,Plateau capacity,565,-0.07225381674120777,0.08618156891629504,-0.0440993365854058,0.2953685805416671,-0.03277189678641169,0.25582738107283,0.005220614033672133,-358.8594400908112,0.08618156891629343
id_ig,ID/IG,ice,ICE,565,0.06843298811784783,0.10417609974249253,0.13864324877351455,0.0009525310842178509,0.09235939217904243,0.0010689001229139178,0.004683073862737586,0.01687585973647316,0.10417609974249381
id_ig,ID/IG,plateau_capacity_mAh_g,Plateau capacity,565,0.052874099069171586,0.2095159603799354,0.13653974383712894,0.001139627458461307,0.09276697369342404,0.0012053928368672962,0.0027956703523767112,6.948381035605696,0.2095159603799362
ssa_m2_g,SSA,ice,ICE,565,-0.6461115345984351,4.51122295692116e-68,-0.6836086929694647,4.9080475336213686e-79,-0.5057590414293713,4.653597704901204e-72,0.4174601151411448,-0.0002924499838020722,4.511222956920606e-68
ssa_m2_g,SSA,plateau_capacity_mAh_g,Plateau capacity,565,-0.5295537533936093,3.691263880872557e-42,-0.6247816345029006,1.6956487504184057e-62,-0.4544369390647887,7.239808688259662e-57,0.2804271777332593,-0.12773043774631848,3.6912638808727345e-42
electrolyte_type,Electrolyte type,ice,ICE,565,0.04355857131875049,0.3013358093644112,0.004728200849065525,0.9107125777386065,0.00386844341813936,0.9105946212123319,0.0018973491353305727,0.014713952985050337,0.3013358093643944
electrolyte_type,Electrolyte type,plateau_capacity_mAh_g,Plateau capacity,565,-0.06836103203017323,0.10454156101144117,-0.0730458988426357,0.08278439846914021,-0.06066243055207192,0.08278616230816543,0.004673230700230291,-12.305650897346197,0.10454156101144468
current_density_mA_g,Current density,ice,ICE,565,-0.36900724888539194,1.1475966334709418e-19,-0.415048803888323,6.1816821704824735e-25,-0.3020176467713795,5.49800343820078e-23,0.13616634972996577,-0.0010833475691351749,1.1475966334708411e-19
current_density_mA_g,Current density,plateau_capacity_mAh_g,Plateau capacity,565,-0.3027342881133855,1.9349256446849556e-13,-0.383720220884475,2.922212254704598e-21,-0.2843105059157303,5.39462263205365e-20,0.0916480491995183,-0.47362516618150424,1.9349256446848168e-13
