model,model_slug,feature,mean_abs_shap,rank
RandomForest,randomforest,carbonization_temperature_C,0.30626550621762344,1
RandomForest,randomforest,ssa_m2_g,0.22388932057928435,2
RandomForest,randomforest,current_density_mA_g,0.1150329759174978,3
RandomForest,randomforest,d002_nm,0.02789280956643668,4
RandomForest,randomforest,id_ig,0.026271603997923797,5
RandomForest,randomforest,electrolyte_type,0.017203287115998958,6
GBR,gbr,carbonization_temperature_C,0.31047846137557616,1
GBR,gbr,ssa_m2_g,0.21734865899506017,2
GBR,gbr,current_density_mA_g,0.07180787528333545,3
GBR,gbr,d002_nm,0.025037366924705377,4
GBR,gbr,id_ig,0.015670548142561216,5
GBR,gbr,electrolyte_type,0.006501656554032596,6
XGB,xgb,carbonization_temperature_C,0.33313578367233276,1
XGB,xgb,ssa_m2_g,0.2275659441947937,2
XGB,xgb,current_density_mA_g,0.07944334298372269,3
XGB,xgb,d002_nm,0.03979175165295601,4
XGB,xgb,id_ig,0.032032739371061325,5
XGB,xgb,electrolyte_type,0.011067151091992855,6
Ridge,ridge,carbonization_temperature_C,0.3855586344304191,1
Ridge,ridge,ssa_m2_g,0.09590616734185832,2
Ridge,ridge,id_ig,0.03278786770746368,3
Ridge,ridge,current_density_mA_g,0.02343055797072465,4
Ridge,ridge,electrolyte_type,0.008886619455526783,5
Ridge,ridge,d002_nm,0.00018854572098999986,6
