model,model_slug,feature,mean_abs_shap,rank
RandomForest,randomforest,carbonization_temperature_C,42.92377915944708,1
RandomForest,randomforest,ssa_m2_g,20.364876051043186,2
RandomForest,randomforest,current_density_mA_g,9.911368522560705,3
RandomForest,randomforest,id_ig,7.063951428700824,4
RandomForest,randomforest,d002_nm,4.30629145430355,5
RandomForest,randomforest,electrolyte_type,1.3939841152011696,6
GBR,gbr,carbonization_temperature_C,53.028614844580005,1
GBR,gbr,ssa_m2_g,16.547751669378894,2
GBR,gbr,d002_nm,6.769515528086887,3
GBR,gbr,id_ig,5.7847056061149384,4
GBR,gbr,current_density_mA_g,3.9281413034569153,5
GBR,gbr,electrolyte_type,2.032734835129399,6
XGB,xgb,carbonization_temperature_C,51.38444519042969,1
XGB,xgb,ssa_m2_g,16.27817726135254,2
XGB,xgb,d002_nm,6.623327732086182,3
XGB,xgb,id_ig,6.082337856292725,4
XGB,xgb,current_density_mA_g,4.590341091156006,5
XGB,xgb,electrolyte_type,1.6288448572158813,6
Ridge,ridge,carbonization_temperature_C,54.27575558791207,1
Ridge,ridge,ssa_m2_g,7.219628670412348,2
Ridge,ridge,electrolyte_type,5.907260262331391,3
Ridge,ridge,d002_nm,4.0750183665520465,4
Ridge,ridge,id_ig,3.379692261841314,5
Ridge,ridge,current_density_mA_g,0.3814845932938651,6
