fold,r2,mae,rmse
1,0.817097052380574,0.23707670508133996,0.3157894954159943
2,0.7467526709400463,0.32640257710348414,0.3952159315603912
3,0.6946899120507095,0.28474312796156476,0.3924815740716661
4,0.6488739350713415,0.2861083855314904,0.32440816552870533
5,0.7628953053062622,0.29062931993853647,0.3368329274415834
6,0.7124871642252694,0.2636710300485452,0.3325927089184133
7,0.69500900502,0.30250731496527844,0.4103779623972765
8,0.83512474742465,0.2239821444737974,0.27594486426290904
9,0.6879261716235293,0.290868272243831,0.35245622664220166
10,0.6885685447380704,0.31225236904872494,0.413890684584203
