fold,r2,mae,rmse
1,0.7106994262061535,0.2998724583592698,0.3971567741753098
2,0.7703912029593967,0.31997458827996855,0.37631910564201343
3,0.13385708233884352,0.3546318220881694,0.6610639506813656
4,0.6390737084172757,0.2796346784930192,0.32890426265811873
5,0.7572182588638864,0.2878880168837635,0.3408415048351164
6,0.4768835786511827,0.32092737580357633,0.4486248043990393
7,0.6465022931568829,0.3153491938939942,0.44180825155926196
8,0.7408020998344915,0.2724598794422114,0.345987427860883
9,0.6406628332813535,0.3000654643856532,0.3782052756848172
10,0.6093689311618701,0.35438003250731753,0.46354062848369887
