fold,r2,mae,rmse
1,0.7068212828342948,0.2937139478246079,0.39980990308316455
2,0.6823430263224126,0.3480430938428006,0.44263036455518145
3,0.15820843342348712,0.35417678612395387,0.6517048915190448
4,0.6415088930050583,0.277456538074466,0.32779281942842964
5,0.7802860910995629,0.2668048528762577,0.32424496322843177
6,0.4845386539763158,0.31561423263081245,0.4453302095542394
7,0.6306914602210836,0.31445796101746837,0.4515805181390952
8,0.7483886341513089,0.2794809993314195,0.3408864246158109
9,0.6568602994028938,0.29128295069521537,0.36958300903923746
10,0.6028042945944196,0.35290828964564364,0.4674193491603368
