fold,r2,mae,rmse
1,0.8243255795757224,0.2439098469609501,0.30948641605312405
2,0.7309660777789619,0.32709462729453137,0.4073479433067324
3,0.7266870709702706,0.24559988526126356,0.37134602860098315
4,0.6487499982274777,0.28076516984711086,0.3244654135955899
5,0.8061345056980798,0.26235114202746257,0.30457532874748866
6,0.6023029046621489,0.2972246578692202,0.3911652936680128
7,0.7703427523469017,0.2588842679561892,0.35610707343695186
8,0.7959293038224712,0.2562124139756143,0.30699754443407884
9,0.6687470486574332,0.290467396216543,0.36312520192275105
10,0.6683503966013474,0.3322886893462858,0.4271143426547634
