fold,r2,mae,rmse
1,0.7867118390554555,0.2639950053778802,0.34101281665142963
2,0.7398780601286474,0.3282937469547445,0.4005442469939524
3,0.7396034390207098,0.22255369868774544,0.36246520079968353
4,0.7051264788248628,0.2579779931007785,0.29728851410892915
5,0.8339695175124444,0.2315335040342682,0.2818632000261441
6,0.7515355607502495,0.2570389606927706,0.3091834404549873
7,0.688643837311598,0.2697340289076907,0.4146381474737627
8,0.8593783578482821,0.214602131855654,0.25484179846110033
9,0.777239577928641,0.248397303990682,0.29778000240869595
10,0.7834905761047253,0.2734869216238139,0.3450982972968627
