fold,r2,mae,rmse
1,0.7219416767947835,0.29515915025129164,0.3893635355561266
2,0.6962816232260636,0.34416896090804877,0.43281025397421485
3,0.15495759833887224,0.3552794320719607,0.6529620576391153
4,0.6460889184602301,0.27622405789501403,0.32569217397874817
5,0.7783403062715792,0.2697402361163658,0.3256775540203005
6,0.4793193537195566,0.3181676823008937,0.44757912501030245
7,0.6292396521105659,0.3165099750419198,0.45246726340440446
8,0.7604462672616025,0.26838219085429094,0.3326182313404225
9,0.6561332172137777,0.2916805872712327,0.36997435843207044
10,0.6006089959039198,0.3542710009295414,0.46870928146430224
