fold,r2,mae,rmse
1,0.7936195627320215,0.2696085551741214,0.33544520726852434
2,0.7266543122764235,0.33295015796834,0.410599219736795
3,0.7396786155970072,0.23554615263828055,0.36241287510902215
4,0.7225203285136675,0.2500526922921988,0.28838709895220627
5,0.8051343932617163,0.2555601239987331,0.3053599390532947
6,0.7415741193686538,0.27363467099336575,0.3153204282728041
7,0.7013669838008438,0.28059453654671673,0.40607797316233507
8,0.839195381428645,0.23175490611528582,0.27251714962179346
9,0.7262594495478971,0.2677566136007792,0.3301004232375186
10,0.8040419031059796,0.251770741144794,0.3283114436578128
