fold,r2,mae,rmse
1,0.8472123299329221,25.60963914514822,31.713188186138495
2,0.862673175101985,23.619502192304775,29.88559001745957
3,0.8466933625552671,23.173628712163914,31.25543275301513
4,0.7910858791501982,25.22546858432033,31.154425147249572
5,0.7582332452979235,30.701843887948872,39.2931554569552
6,0.7491983876786172,34.76111571348001,41.04648210732383
7,0.7717914993679849,25.37304107539015,35.19005188140375
8,0.8059486941959185,29.804908539199122,37.1023517561495
9,0.7459443165232198,27.897118089866556,35.8286860464256
10,0.8736597748291148,22.176764241398732,29.377298049373742
