feature,feature_label,target,target_label,n,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
carbonization_time_h,Carbonization time,ice,ICE,524,-0.06742782742250555,0.12318000141691009,-0.13710747573073792,0.0016557253422677775,-0.10456957939339867,0.0016826424369662774
carbonization_time_h,Carbonization time,plateau_capacity_mAh_g,Plateau capacity,524,-0.10404000560917984,0.017201816670190058,-0.15244722076350326,0.00046207205051005567,-0.11516043447521493,0.0006455175499470531
heating_rate_C_min,Heating rate,ice,ICE,365,-0.10291707530023864,0.04944856133872348,-0.05809852362754963,0.268251200131539,-0.044153058184163096,0.2698342777507923
heating_rate_C_min,Heating rate,plateau_capacity_mAh_g,Plateau capacity,365,-0.10630111907705031,0.04239028934904038,-0.0816822071140134,0.11928358597008158,-0.06363017915856511,0.11858445583798459
pore_volume_cm3_g,Pore volume,ice,ICE,302,-0.6303280702605111,7.499254830415694e-35,-0.6933427652186777,1.3497193115221277e-44,-0.514946747902482,2.000925863129017e-40
pore_volume_cm3_g,Pore volume,plateau_capacity_mAh_g,Plateau capacity,302,-0.5068825166502335,4.0598954491490436e-21,-0.6543601829456029,2.712540233230457e-38,-0.4830633699933283,1.858722389360642e-34
lc_nm,Lc,ice,ICE,286,0.18837597173443954,0.0013720096085553962,0.10258694391012355,0.08329551112644691,0.0710620341866106,0.07407415486138647
lc_nm,Lc,plateau_capacity_mAh_g,Plateau capacity,286,0.15000067156803998,0.011084648604412464,0.11611566911071508,0.04979336375797689,0.07607623075020999,0.056803720818698576
la_nm,La,ice,ICE,256,0.15031195180565993,0.01608804321031551,0.16812456692260883,0.007016796862992602,0.11714160074178695,0.0053091560518101445
la_nm,La,plateau_capacity_mAh_g,Plateau capacity,256,0.22667346185942178,0.0002554454456974599,0.23115435235158396,0.0001907017655417267,0.16253911394011647,0.00011274050956449719
