feature,feature_label,target,target_label,n,coef,coef_pvalue,intercept,r2,adj_r2
carbonization_time_h,Carbonization time,ice,ICE,524,-0.007535451114606691,0.12318000141690838,0.7033004313082087,0.00454651191091926,0.002639512891591478
carbonization_time_h,Carbonization time,plateau_capacity_mAh_g,Plateau capacity,524,-6.197844564068472,0.017201816670189916,132.9081403216805,0.010824322767158279,0.008929350205409525
heating_rate_C_min,Heating rate,ice,ICE,365,-0.007579808508899418,0.049448561338723426,0.7095429265731659,0.010591924388354657,0.007866282306779993
heating_rate_C_min,Heating rate,plateau_capacity_mAh_g,Plateau capacity,365,-4.097367239884447,0.04239028934904009,131.65279081267352,0.011299927917033492,0.008576236258402758
pore_volume_cm3_g,Pore volume,ice,ICE,302,-0.2988165438463748,7.499254830416286e-35,0.7124952190158383,0.3973134761583398,0.3953045210788675
pore_volume_cm3_g,Pore volume,plateau_capacity_mAh_g,Plateau capacity,302,-124.52327989724162,4.059895449149172e-21,130.10113881814507,0.2569298856856742,0.25445298530462634
lc_nm,Lc,ice,ICE,286,0.014034960355008792,0.0013720096085555115,0.696762353413052,0.03548550672689399,0.032089328933678773
lc_nm,Lc,plateau_capacity_mAh_g,Plateau capacity,286,6.791656856437389,0.011084648604412658,128.2026579529401,0.02250020147086318,0.019058300771816805
la_nm,La,ice,ICE,256,0.007926639423187767,0.01608804321031447,0.7007708363594571,0.022593682855627018,0.018745626488916867
la_nm,La,plateau_capacity_mAh_g,Plateau capacity,256,7.540815097683968,0.0002554454456974526,117.87717624747015,0.051380858311334876,0.04764613728106459
