,carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,ice,plateau_capacity_mAh_g,reversible_capacity_mAh_g
carbonization_temperature_C,1.0,-0.23363329815742734,-0.040753419579598,-0.44348675024455475,0.020140938146364765,-0.2607087042135378,-0.06396633366735001,-0.1153191426815047,-0.43561494930693184,0.11986375023200065,0.15546678076903073,0.7499678811548809,0.8173875628362022,0.19952048215139798
d002_nm,-0.23363329815742734,1.0,0.1423338000578229,0.10041046387145643,-0.024410649517297316,-0.0007626572240381104,-0.014438286343344287,-0.007942127127925658,0.06606399418503546,-0.03768649236385671,0.014658627072168001,-0.12559100211359525,-0.07225381674120725,0.06833061392295345
id_ig,-0.040753419579598,0.1423338000578229,1.0,-0.0036695115536095765,-0.03023489676637736,-0.10190349426423488,-0.02340331474766963,0.044772834003164425,-0.10411307057088574,0.011241636847682788,0.0707566082530848,0.06843298811784765,0.05287409906917158,-0.08927954845356459
ssa_m2_g,-0.44348675024455475,0.10041046387145643,-0.0036695115536095765,1.0,0.015787695804113037,0.343706216447519,0.008944167085313932,0.03216675496613078,0.7631740185041006,-0.10756368720971067,-0.19362296244568394,-0.6461115345984354,-0.5295537533936092,-0.03846128090225403
electrolyte_type,0.020140938146364765,-0.024410649517297316,-0.03023489676637736,0.015787695804113037,1.0,0.05950044929577301,0.024604020720181332,0.016298540847679767,-0.0707462961788026,-0.09781715798135991,-0.22838883728915413,0.04355857131875024,-0.06836103203017325,-0.1188996873334529
current_density_mA_g,-0.2607087042135378,-0.0007626572240381104,-0.10190349426423488,0.343706216447519,0.05950044929577301,1.0,0.03831463295276156,0.027870067390510712,0.3576647506410962,-0.1296943028191048,-0.2510935046479174,-0.369007248885392,-0.30273428811338543,-0.09047145406026884
carbonization_time_h,-0.06396633366735001,-0.014438286343344287,-0.02340331474766963,0.008944167085313932,0.024604020720181332,0.03831463295276156,1.0,-0.11063881914755642,-0.0504636449789099,-0.15779986621387138,-0.28585710990259705,-0.06742782742250589,-0.1040400056091799,-0.06727730099190135
heating_rate_C_min,-0.1153191426815047,-0.007942127127925658,0.044772834003164425,0.03216675496613078,0.016298540847679767,0.027870067390510712,-0.11063881914755642,1.0,0.03654999686644907,-0.01489999487612439,-0.012069846417219452,-0.10291707530023865,-0.10630111907705027,-0.017118860182739254
pore_volume_cm3_g,-0.43561494930693184,0.06606399418503546,-0.10411307057088574,0.7631740185041006,-0.0707462961788026,0.3576647506410962,-0.0504636449789099,0.03654999686644907,1.0,-0.1588720716853017,-0.1643863545268227,-0.6303280702605112,-0.5068825166502336,-0.017068439896414093
lc_nm,0.11986375023200065,-0.03768649236385671,0.011241636847682788,-0.10756368720971067,-0.09781715798135991,-0.1296943028191048,-0.15779986621387138,-0.01489999487612439,-0.1588720716853017,1.0,0.48473722186969537,0.1883759717344394,0.15000067156804006,-0.05898962704023304
la_nm,0.15546678076903073,0.014658627072168001,0.0707566082530848,-0.19362296244568394,-0.22838883728915413,-0.2510935046479174,-0.28585710990259705,-0.012069846417219452,-0.1643863545268227,0.48473722186969537,1.0,0.15031195180565943,0.22667346185942178,0.09292254067767894
ice,0.7499678811548809,-0.12559100211359525,0.06843298811784765,-0.6461115345984354,0.04355857131875024,-0.369007248885392,-0.06742782742250589,-0.10291707530023865,-0.6303280702605112,0.1883759717344394,0.15031195180565943,1.0,0.8071984501983958,0.24659024176902744
plateau_capacity_mAh_g,0.8173875628362022,-0.07225381674120725,0.05287409906917158,-0.5295537533936092,-0.06836103203017325,-0.30273428811338543,-0.1040400056091799,-0.10630111907705027,-0.5068825166502336,0.15000067156804006,0.22667346185942178,0.8071984501983958,1.0,0.3921828327621874
reversible_capacity_mAh_g,0.19952048215139798,0.06833061392295345,-0.08927954845356459,-0.03846128090225403,-0.1188996873334529,-0.09047145406026884,-0.06727730099190135,-0.017118860182739254,-0.017068439896414093,-0.05898962704023304,0.09292254067767894,0.24659024176902744,0.3921828327621874,1.0
