var_x,label_x,var_y,label_y,n,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
carbonization_temperature_C,Carbonization temperature,d002_nm,d002,565,-0.23363329815742834,1.9201155457169017e-08,-0.21812698536079841,1.6363181461084245e-07,-0.16341068287473434,3.64396825328244e-08
carbonization_temperature_C,Carbonization temperature,id_ig,ID/IG,565,-0.040753419579598146,0.3335669564709644,0.05172034933756482,0.21964310995434633,0.031762768081626036,0.28126244381489196
carbonization_temperature_C,Carbonization temperature,ssa_m2_g,SSA,565,-0.44348675024455486,1.2664465486513562e-28,-0.5510468751917701,3.459841455205077e-46,-0.40562037493569014,3.0388579901472538e-43
carbonization_temperature_C,Carbonization temperature,electrolyte_type,Electrolyte type,565,0.020140938146364622,0.6328403624859141,0.017519110197959705,0.6777509176244132,0.014969328661565248,0.6773691611113541
carbonization_temperature_C,Carbonization temperature,current_density_mA_g,Current density,565,-0.2607087042135383,3.1261580300018657e-10,-0.33110655163221875,6.373529467241598e-16,-0.2554772286084155,1.2787299895786847e-15
carbonization_temperature_C,Carbonization temperature,carbonization_time_h,Carbonization time,524,-0.06396633366734991,0.14367071734349202,-0.13780358966981746,0.0015667173728015828,-0.10941499142442318,0.0016690718888169012
carbonization_temperature_C,Carbonization temperature,heating_rate_C_min,Heating rate,365,-0.11531914268150482,0.02759711346157728,-0.07320513335032156,0.16281748690394743,-0.05781974760726676,0.1668537785363935
carbonization_temperature_C,Carbonization temperature,pore_volume_cm3_g,Pore volume,302,-0.4356149493069325,2.0417257284567776e-15,-0.6272718864060146,1.955299293927468e-34,-0.4763504358110379,4.6993274393668635e-32
carbonization_temperature_C,Carbonization temperature,lc_nm,Lc,286,0.11986375023200087,0.042814959328796295,0.14922688689408672,0.011511785071898196,0.10375998055019693,0.013157250223857313
carbonization_temperature_C,Carbonization temperature,la_nm,La,256,0.15546678076903048,0.012757920209364025,0.16022341615417707,0.010239392081093939,0.12342148026513612,0.005284054550220934
